"country","new_deaths","new_cases"
"Total",0,1
"Total",0,2
"Total",0,1
"Total",0,1
"Total",0,2
"Total",0,3
"Total",0,5
"Total",0,2
"Total",0,6
"Total",0,10
"Total",0,10
"Total",0,18
"Total",0,14
"Total",0,81
"Total",0,45
"Total",0,37
"Total",0,104
"Total",0,92
"Total",0,103
"Total",1,95
"Total",0,114
"Total",1,176
"Total",1,220
"Total",1,164
"Total",1,304
"Total",1,299
"Total",1,230
"Total",1,310
"Total",4,289
"Total",4,293
"Total",2,373
"Total",4,333
"Total",5,424
"Total",7,310
"Total",3,344
"Total",6,301
"Total",5,430
"Total",9,426
"Total",8,529
"Total",8,426
"Total",7,286
"Total",2,312
"Total",10,392
"Total",2,356
"Total",11,534
"Total",11,445
"Total",10,478
"Total",7,358
"Total",6,419
"Total",8,325
"Total",13,464
"Total",8,516
"Total",6,494
"Total",7,552
"Total",8,473
"Total",9,482
"Total",9,552
